time,yaw,pitch,roll
2020-12-06 22:41:38.6580,155.1,13.86,-177.14
2020-12-06 22:41:38.7590,155.55,13.84,-177.66
2020-12-06 22:41:38.8580,156.63,14.41,-178.94
2020-12-06 22:41:38.9580,157.25,14.04,179.88
2020-12-06 22:41:39.0580,157.15,12.96,-179.79
2020-12-06 22:41:39.1580,156.96,13.27,179.33
2020-12-06 22:41:39.2570,157.04,14.1,179.2
2020-12-06 22:41:39.3570,157.38,15.61,179.65
2020-12-06 22:41:39.4510,158.18,16.64,179.39
2020-12-06 22:41:39.5540,157.72,16.42,179.61
2020-12-06 22:41:39.6560,157.34,16.28,179.43
2020-12-06 22:41:39.7560,156.7,16.6,179.45
2020-12-06 22:41:39.8570,156.17,15.44,-179.71
2020-12-06 22:41:39.9560,155.45,13.69,-178.97
2020-12-06 22:41:40.0550,155.96,13.2,-178.87
2020-12-06 22:41:40.1550,156.91,13.31,-178.82
2020-12-06 22:41:40.2550,156.58,11.04,-179.42
2020-12-06 22:41:40.3550,155.56,9.48,-179.14
2020-12-06 22:41:40.4550,155.07,8.7,-178.66
2020-12-06 22:41:40.5550,155.14,9.59,-178.59
2020-12-06 22:41:40.6530,154.6,9.57,-178.5
2020-12-06 22:41:40.7540,154.56,10.3,-178.02
2020-12-06 22:41:40.8540,155.46,11.62,-177.39
2020-12-06 22:41:40.9520,156.16,12.18,-177.39
2020-12-06 22:41:41.0540,156.73,11.21,-178.58
2020-12-06 22:41:41.1530,156.89,12.07,-179.2
2020-12-06 22:41:41.2510,157.03,12.13,-179.62
2020-12-06 22:41:41.3520,156.46,11.18,-177.63
2020-12-06 22:41:41.4520,156.42,11.75,-175.27
2020-12-06 22:41:41.5510,156.49,11.67,-175.39
2020-12-06 22:41:41.6480,156.12,10.2,-175.92
2020-12-06 22:41:41.7510,155.64,9.59,-174.64
2020-12-06 22:41:41.8510,155.09,9.79,-172.71
2020-12-06 22:41:41.9510,154.48,9.76,-172.42
2020-12-06 22:41:42.0510,154.24,9.72,-173.2
2020-12-06 22:41:42.1460,154.53,11.2,-172.56
2020-12-06 22:41:42.2450,155.61,12.34,-173.81
2020-12-06 22:41:42.3460,156.02,11.71,-175.43
2020-12-06 22:41:42.4440,156.01,11.0,-176.9
2020-12-06 22:41:42.5430,155.5,10.75,-177.1
2020-12-06 22:41:42.6450,154.84,11.49,-176.28
2020-12-06 22:41:42.7520,153.91,9.39,-174.1
2020-12-06 22:41:42.8510,153.95,8.9,-174.55
2020-12-06 22:41:42.9490,154.26,9.14,-176.17
2020-12-06 22:41:43.0510,154.16,9.52,-177.15
2020-12-06 22:41:43.1510,154.4,9.47,-177.58
2020-12-06 22:41:43.2500,155.12,10.61,-177.54
2020-12-06 22:41:43.3510,155.33,10.13,-179.51
2020-12-06 22:41:43.4500,152.53,10.64,179.49
2020-12-06 22:41:43.5500,147.04,12.71,-178.35
2020-12-06 22:41:43.6500,140.87,15.38,-172.65
2020-12-06 22:41:43.7490,136.12,14.88,-168.47
2020-12-06 22:41:43.8490,133.37,14.18,-164.86
2020-12-06 22:41:43.9490,130.9,14.88,-159.33
2020-12-06 22:41:44.0490,122.62,19.28,-133.72
2020-12-06 22:41:44.1490,109.69,20.47,-87.64
2020-12-06 22:41:44.2480,100.53,19.43,-47.63
2020-12-06 22:41:44.3480,92.22,14.34,-17.96
2020-12-06 22:41:44.4470,92.48,12.61,-6.58
2020-12-06 22:41:44.5480,91.14,11.21,5.13
2020-12-06 22:41:44.6480,90.83,10.67,8.22
2020-12-06 22:41:44.7470,90.82,10.38,6.31
2020-12-06 22:41:44.8460,89.98,9.97,9.02
2020-12-06 22:41:44.9460,89.52,9.4,9.65
2020-12-06 22:41:45.0470,90.4,9.96,6.25
2020-12-06 22:41:45.1460,91.38,9.89,4.09
2020-12-06 22:41:45.2460,94.65,7.18,0.45
2020-12-06 22:41:45.3460,97.71,4.42,0.77
2020-12-06 22:41:45.4450,101.33,0.26,1.84
2020-12-06 22:41:45.5450,104.14,-6.41,5.63
2020-12-06 22:41:45.6450,104.18,-8.18,7.25
2020-12-06 22:41:45.7450,103.94,-7.95,7.86
2020-12-06 22:41:45.8450,104.23,-8.4,8.73
2020-12-06 22:41:45.9440,105.54,-7.74,9.17
2020-12-06 22:41:46.0450,106.1,-7.83,8.82
2020-12-06 22:41:46.1410,106.72,-6.77,9.18
2020-12-06 22:41:46.2440,107.54,-5.68,8.85
2020-12-06 22:41:46.3440,108.0,-5.07,8.8
2020-12-06 22:41:46.4430,107.46,-5.29,8.63
2020-12-06 22:41:46.5430,108.27,-4.36,8.66
2020-12-06 22:41:46.6430,108.64,-3.98,9.38
2020-12-06 22:41:46.7380,109.28,-3.07,9.04
2020-12-06 22:41:46.8420,109.23,-3.31,8.34
