time,wx (rad/s),wy (rad/s),wz (rad/s)
1.540,0.00,0.00,0.00
1.543,0.00,-0.00,0.00
1.546,0.00,-0.00,-0.00
1.548,-0.00,-0.00,0.00
1.550,0.00,0.00,0.00
1.553,0.00,0.00,0.00
1.555,0.00,0.00,0.00
1.558,0.00,0.00,-0.00
1.560,0.00,-0.00,0.00
1.563,-0.00,-0.00,-0.00
1.566,0.00,0.00,-0.00
1.568,0.00,-0.00,0.00
1.570,0.00,-0.00,0.00
1.573,0.00,0.00,0.00
1.576,-0.00,-0.00,0.00
1.578,-0.00,0.00,0.00
1.580,-0.00,-0.00,0.00
1.583,0.00,-0.00,-0.00
1.586,0.00,-0.00,-0.00
1.588,-0.00,-0.00,-0.00
1.591,0.00,-0.00,0.00
1.593,0.00,0.00,0.00
1.596,0.00,0.00,-0.00
1.598,0.00,-0.00,-0.00
1.601,0.00,0.00,0.00
1.603,0.00,0.00,-0.00
1.606,0.00,0.00,0.00
1.609,0.00,0.00,-0.00
1.611,0.00,0.00,0.00
1.613,0.00,0.00,0.00
1.615,0.00,-0.00,-0.00
1.618,-0.00,-0.00,0.00
1.621,-0.00,-0.00,-0.00
1.623,0.00,-0.00,0.00
1.626,0.00,-0.00,0.00
1.629,0.00,0.00,0.00
1.631,0.00,0.02,0.00
1.638,0.01,0.04,0.00
1.640,0.01,0.05,0.00
1.640,0.01,0.03,0.00
1.641,0.00,0.01,0.00
1.643,-0.00,-0.01,-0.00
1.646,-0.01,-0.02,-0.00
1.648,-0.01,-0.02,-0.00
1.651,-0.00,-0.01,-0.00
1.653,0.00,0.01,-0.00
1.656,0.01,0.02,-0.00
1.658,0.01,0.02,-0.00
1.661,0.00,0.01,-0.00
1.663,-0.00,-0.00,-0.00
1.666,-0.00,-0.01,-0.00
1.669,-0.00,-0.01,-0.00
1.671,-0.00,-0.01,0.00
1.673,-0.00,-0.01,0.00
1.676,-0.00,-0.00,0.00
1.678,0.00,-0.00,-0.00
1.681,-0.00,-0.01,-0.00
1.683,-0.00,-0.01,0.00
1.686,-0.00,-0.01,-0.00
1.689,-0.00,-0.01,0.00
1.691,-0.00,-0.01,-0.00
1.694,-0.01,-0.01,-0.00
1.696,-0.00,-0.01,-0.00
1.699,-0.00,-0.01,-0.00
1.701,-0.00,-0.00,0.00
1.704,0.00,-0.00,0.00
1.707,-0.00,0.00,-0.00
1.710,0.00,-0.00,-0.00
